,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
71,72,104.81626,102.68539,105.072464,103.172806,101.79805,105.35991,103.43838,108.79368,106.93463,103.42588,102.29171,102.947845,107.83759,106.64093,106.128525
72,73,102.78269,105.953415,110.609245,112.76266,110.02634,112.254005,109.395164,111.19586,109.94094,109.11671,109.06101,107.341995,104.34578,113.25275,107.65758
75,76,107.87663,105.52273,104.995514,108.27762,108.63404,105.90886,104.7319,108.13282,109.64392,104.04875,104.646515,103.78886,104.902695,109.62907,104.97695
76,77,105.36308,105.00665,106.67741,102.29632,101.62802,101.71341,102.329735,102.983185,102.5228,102.27404,102.53765,103.56609,105.147736,106.97072,105.351944
77,78,104.87671,106.14648,103.9745,104.21954,108.90137,110.375336,106.41009,103.53639,102.97576,103.462135,103.246796,104.39776,104.76161,102.808685,103.97079
78,79,108.26554,107.29625,107.90973,106.99872,112.8298,107.596855,113.27458,107.84838,115.58739,112.449455,109.98634,107.92813,105.787094,104.66137,105.38527
79,80,103.73497,103.036,107.61876,109.86759,105.26053,106.39406,108.4332,111.077095,108.73709,108.320755,105.96556,108.97414,108.04421,104.94751,104.87762
80,81,107.15076,108.4879,108.12627,104.601074,106.269455,109.3692,111.569405,104.151306,105.58569,109.800735,106.880295,103.76536,105.400314,110.39941,112.33523
81,82,106.254265,108.44536,107.21761,108.35722,108.819145,105.03868,111.80949,106.71315,103.17276,105.37904,103.45235,102.756424,104.722626,105.79538,105.142006
82,83,105.014366,106.37886,107.51847,109.837204,109.10177,109.3692,107.22066,108.79484,105.178474,103.92946,104.21512,104.13611,102.78681,103.30951,103.11502
84,85,104.562164,109.787476,108.57699,109.620636,107.12157,106.02113,105.40701,103.14579,103.24164,103.07124,106.30157,114.945335,111.565926,106.47906,107.40201
85,86,101.794525,101.63851,102.78021,104.32611,101.70233,103.43615,101.99662,100.546455,105.81173,103.39006,112.32507,105.30825,104.91823,102.5852,103.01777
86,87,101.79098,100.670555,101.7697,103.82972,101.86898,102.57811,103.93254,103.07804,106.1202,102.15972,102.383095,103.26596,102.10299,103.43615,102.80503
88,89,102.8748,103.923035,102.44048,102.81276,105.38599,107.87432,105.08883,108.70703,118.26196,116.838196,117.5762,111.11699,109.75853,111.49252,114.50987
89,90,103.47924,103.871796,102.93745,102.548134,105.81837,102.24317,102.18478,102.66493,104.31302,102.5968,102.02905,103.067215,103.50844,102.07123,102.16531
92,93,97.70921,98.410995,103.03137,102.58142,105.04942,106.553734,108.74304,103.71637,102.19191,102.36316,102.124756,101.86285,103.27649,105.37178,111.05658
94,95,105.199554,104.08716,103.33778,102.79823,102.80823,103.46434,104.60672,102.50515,102.30532,105.03303,102.47185,102.97809,103.86401,103.65752,103.60756
