,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,start_date,storm_name
55,56,47.11355,46.254646,45.81701,45.043396,44.697075,44.186214,43.71412,42.657074,41.668083,38.869972,37.73625,37.619087,36.50949,34.71243,32.677593,2007-12-08T22:00:00,C3S_STORM_TRACKS_ERA5
57,58,42.63488,42.430424,41.588074,41.66837,41.352394,38.835754,37.528736,38.33986,37.178562,37.052917,36.163727,37.55773,37.676685,36.32952,35.18532,2008-01-24T22:00:00,C3S_STORM_TRACKS_ERA5
59,60,37.45249,38.47308,39.752598,40.881447,41.977745,42.84464,42.447914,41.515152,41.468967,40.701256,40.24699,38.80318,32.87197,31.855927,35.185703,2008-02-29T12:00:00,EMMA
60,61,33.278835,34.606388,34.247787,34.66305,34.45987,32.34388,32.021706,31.428352,31.340929,32.147175,29.555206,26.210419,27.236036,27.0831,25.81948,2008-03-11T12:00:00,C3S_STORM_TRACKS_ERA5
61,62,34.752686,35.638744,36.852978,37.92266,38.459457,38.80169,38.45164,39.373646,39.175182,37.28898,37.689816,36.970184,37.89766,36.442764,34.183853,2008-12-19T13:00:00,C3S_STORM_TRACKS_ERA5
62,63,40.53811,39.831104,40.20684,42.01288,45.88137,47.68667,43.822624,41.825382,41.24585,41.909126,40.912357,40.334305,39.341988,39.45537,38.588295,2009-01-17T13:00:00,C3S_STORM_TRACKS_ERA5
63,64,41.170258,43.276436,42.327103,41.828346,44.51554,45.55455,44.28432,46.12445,44.54222,44.399193,43.819656,42.248543,42.315243,40.217957,38.211823,2009-01-23T19:00:00,KLAUS
64,65,30.62331,31.007298,32.048145,33.373962,34.965847,35.78749,38.811012,39.550266,37.902443,41.154243,38.20933,34.338467,35.377045,37.63108,37.02411,2010-02-27T09:00:00,XYNTHIA
65,66,42.286144,41.888515,42.08329,46.327953,43.440434,45.086597,44.98248,44.8263,44.178246,43.242966,42.68916,43.3776,43.615463,43.35965,42.474636,2011-02-03T15:00:00,C3S_STORM_TRACKS_ERA5
66,67,46.043503,37.54471,37.444134,37.636833,35.741302,35.4488,34.64498,35.36358,35.52327,34.95745,34.286453,31.736813,26.99069,24.203821,23.14435,2011-11-24T19:00:00,C3S_STORM_TRACKS_ERA5
67,68,39.049637,40.943363,38.666145,39.39201,41.06671,42.662342,43.84365,44.87156,47.002495,45.439278,44.270626,39.286846,39.52959,40.88406,40.224617,2011-12-08T05:00:00,C3S_STORM_TRACKS_ERA5
68,69,44.331512,43.847603,44.664394,45.387093,44.42639,44.340996,42.528717,46.961376,45.339653,46.3984,46.712303,43.94881,29.036219,29.506685,28.722311,2011-12-25T11:00:00,C3S_STORM_TRACKS_ERA5
70,71,28.83531,28.38045,28.30127,28.940601,29.433367,32.19454,33.842987,34.25826,31.80875,31.791903,31.328619,28.954079,31.625963,32.658665,32.749638,2013-10-27T19:00:00,CHRISTIAN
71,72,37.787785,37.58873,38.798893,38.6119,39.947983,39.75119,41.244858,42.247673,33.51564,31.40973,27.401487,26.091797,25.4411,22.270544,19.722038,2013-11-16T15:00:00,C3S_STORM_TRACKS_ERA5
72,73,39.392395,41.072548,45.54714,44.573227,43.532177,40.401184,37.406204,39.279045,41.540756,42.785828,43.491196,46.023193,45.895027,45.67182,40.793537,2013-12-05T03:00:00,XAVER
75,76,44.915882,43.73097,44.55143,46.86109,47.20462,46.46089,43.812927,43.948074,44.581074,44.554043,43.773693,43.908836,43.402264,43.761486,42.67161,2013-12-11T19:00:00,C3S_STORM_TRACKS_ERA5
76,77,23.750505,23.509861,23.810667,23.849901,23.51858,24.440178,24.93716,24.305035,24.063519,25.804703,24.113216,23.597923,24.54219,24.762781,30.257496,2013-12-18T13:00:00,C3S_STORM_TRACKS_ERA5
77,78,38.288567,40.226803,40.96356,41.268723,40.245113,40.682808,40.93653,39.441223,39.623447,38.86751,37.85785,36.207344,35.355495,35.597885,35.007607,2013-12-26T20:00:00,C3S_STORM_TRACKS_ERA5
78,79,44.151123,42.39782,43.29128,44.28401,45.12119,45.814537,46.6353,40.63279,40.74144,43.152138,38.83024,40.845406,39.35787,37.304398,36.818977,2014-02-12T06:00:00,C3S_STORM_TRACKS_ERA5
