,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
26,27,-0.015118599,-0.012175083,-0.012763977,-0.010997772,-0.013352394,-0.012175083,-0.01629591,-0.014529705,-0.014529705,-0.010997772,-0.00864315,-0.011586666,-0.0074658394,-0.008054733,-0.013941288,-0.015118599,-0.013941288,-0.015118599,-0.018650532,-0.018650532,-0.01747322,-0.014529705,-0.022771358,-0.013352394,-0.018650532,-0.016884804,-0.013352394,-0.011586666,-0.010409355,-0.010409355,-0.012175083,-0.011586666,-0.009232044,-0.009232044,-0.011586666,-0.012763977
27,28,-0.013867855,-0.018604994,-0.018078566,-0.01597333,-0.012815237,-0.015446901,-0.019657612,-0.019657612,-0.012815237,-0.011762381,-0.015446901,-0.02386856,-0.030710936,-0.031237364,-0.021236658,-0.019657612,-0.02018404,-0.019657612,-0.014394283,-0.00755167,-0.011762381,-0.012815237,-0.014920473,-0.012288809,-0.014394283,-0.018604994,-0.014920473,-0.015446901,-0.017552376,-0.008604288,-0.006499052,-0.00755167,-0.009657145,-0.009657145,-0.01597333,-0.018604994
28,29,-0.03841853,-0.039428234,-0.034884453,-0.048010826,-0.029835701,-0.027311325,-0.026806593,-0.031855106,-0.040437937,-0.039932966,-0.03841853,-0.039428234,-0.039428234,-0.03387475,-0.03841853,-0.063661814,-0.059622765,-0.039428234,-0.029330969,-0.019738436,-0.015699387,-0.01721406,-0.016709328,-0.015194654,-0.020243406,-0.022262812,-0.024787188,-0.03387475,-0.047001123,-0.035389185,-0.036399126,-0.039428234,-0.019233465,-0.022262812,-0.023272514,-0.022767544
29,30,-0.021253109,-0.013175249,-0.013175249,-0.010145903,-0.0076215267,-0.0076215267,-0.0056021214,-0.0056021214,-0.010650873,-0.014184952,-0.014184952,-0.013175249,-0.010650873,-0.012670279,-0.015699387,-0.010650873,-0.011660576,-0.006107092,-0.0030777454,-0.0056021214,-0.008631468,-0.006611824,-0.010650873,-0.01721406,-0.013175249,-0.015194654,-0.019233465,-0.013679981,-0.003582716,-0.0091362,-0.0096411705,-0.011155605,-0.013679981,-0.012165308,-0.013175249,-0.015194654
30,31,-0.03165245,-0.029110909,-0.034193993,-0.029619217,-0.030127525,-0.03165245,-0.030635834,-0.04842615,-0.027077675,-0.04893446,-0.019453526,-0.012845993,-0.014879227,-0.025553226,-0.030635834,-0.019961834,-0.023011684,-0.027077675,-0.017420292,-0.016911983,-0.018945217,-0.023011684,-0.02097845,-0.0179286,-0.020470142,-0.014879227,-0.019961834,-0.026061535,-0.015895367,-0.015387535,-0.016403675,-0.026061535,-0.022503376,-0.016911983,-0.012845993,-0.015387535
31,32,-0.019106865,-0.016672134,-0.017889023,-0.025801659,-0.021540642,-0.02215004,-0.011802673,-0.016672134,-0.014237404,-0.016062737,-0.01362896,-0.018497467,-0.017889023,-0.020932198,-0.016062737,-0.018497467,-0.0270195,-0.028844833,-0.016062737,-0.012411118,-0.01971531,-0.022758484,-0.020323753,-0.014845848,-0.021540642,-0.022758484,-0.01971531,-0.017280579,-0.011802673,-0.015454292,-0.0069332123,-0.008759499,-0.0069332123,-0.009367943,-0.008151054,-0.008759499
32,33,-0.020323753,-0.012411118,-0.014237404,-0.014845848,-0.017280579,-0.014845848,-0.018497467,-0.016062737,-0.017280579,-0.017280579,-0.015454292,-0.016672134,-0.022758484,-0.022758484,-0.031888008,-0.021540642,-0.016062737,-0.025193214,-0.0270195,-0.02823639,-0.02215004,-0.02458477,-0.037365913,-0.02458477,-0.021540642,-0.018497467,-0.017889023,-0.022758484,-0.023366928,-0.026410103,-0.02458477,-0.016062737,-0.019106865,-0.017889023,-0.02215004,-0.027627945
33,34,-0.019961357,-0.017969131,-0.011992693,-0.01099658,-0.013486624,-0.013486624,-0.012988567,-0.013486624,-0.015478849,-0.01398468,-0.011494637,-0.013486624,-0.012988567,-0.017969131,-0.010000467,-0.010000467,-0.010000467,-0.014980793,-0.021455288,-0.017471075,-0.0194633,-0.016973019,-0.0194633,-0.015478849,-0.021953344,-0.019961357,-0.020957232,-0.021455288,-0.019961357,-0.016973019,-0.018467188,-0.021455288,-0.029922009,-0.022949457,-0.026435852,-0.02394557
34,35,-0.01028204,-0.012615204,-0.014365673,-0.0108652115,-0.014365673,-0.022532463,-0.017865658,-0.014365673,-0.01144886,-0.012032032,-0.015532017,-0.015532017,-0.012615204,-0.01028204,-0.013198853,-0.012032032,-0.01844883,-0.019032001,-0.0108652115,-0.01728201,-0.01028204,-0.014948845,-0.017865658,-0.019032001,-0.026032448,-0.01844883,-0.008532047,-0.01144886,-0.013782024,-0.021365643,-0.024282455,-0.01961565,-0.01844883,-0.013782024,-0.01961565,-0.031282425
36,37,-0.053948402,-0.047042847,-0.061385155,-0.078914165,-0.07466459,-0.074133396,-0.06404066,-0.051823616,-0.03376293,-0.065103054,-0.07838297,-0.0890069,-0.08741331,-0.018889904,-0.016765118,-0.027388573,-0.039606094,-0.037481308,-0.031106949,-0.034825325,-0.039606094,-0.04332447,-0.039074898,-0.027388573,-0.025263786,-0.02791977,-0.025794983,-0.03270054,-0.03429413,-0.042262077,-0.03535652,-0.040668488,-0.039074898,-0.03588772,-0.04969883,-0.05926037
37,38,-0.06563425,-0.07094622,-0.060853958,-0.083694935,-0.09113169,-0.050761223,-0.06988382,-0.05288601,-0.066696644,-0.065103054,-0.060853958,-0.06988382,-0.06616545,-0.06616545,-0.058197975,-0.043855667,-0.07094622,-0.06457186,-0.0385437,-0.074133396,-0.08422613,-0.06775904,-0.06404066,-0.07466459,-0.06032276,-0.058197975,-0.041199684,-0.03535652,-0.039606094,-0.04332447,-0.05766678,-0.045980453,-0.041199684,-0.044386864,-0.025794983,-0.024201393
38,39,-0.012753487,-0.014686108,-0.02338171,-0.027729511,-0.030145168,-0.02096653,-0.021449566,-0.015169144,-0.01565218,-0.018067837,-0.02096653,-0.018550873,-0.0132369995,-0.01565218,-0.014686108,-0.014686108,-0.014686108,-0.016135216,-0.0093717575,-0.01999998,-0.01565218,-0.015169144,-0.01565218,-0.0175848,-0.022898674,-0.018550873,-0.0175848,-0.01565218,-0.016618252,-0.023864746,-0.023864746,-0.022415638,-0.025314331,-0.02676344,-0.027729511,-0.026280403
39,40,-0.018550873,-0.020483017,-0.025797367,-0.026280403,-0.029662132,-0.026280403,-0.017101765,-0.023864746,-0.024347782,-0.02869606,-0.028213024,-0.02338171,-0.02676344,-0.031106949,-0.03429413,-0.021545887,-0.011453152,-0.016765118,-0.02101469,-0.03429413,-0.03695011,-0.022077084,-0.02260828,-0.018889904,-0.023139,-0.0194211,-0.023139,-0.020483494,-0.02260828,-0.019952297,-0.015171528,-0.023139,-0.025263786,-0.028982162,-0.032169342,-0.03429413
41,42,-0.016608715,-0.009758472,-0.010737419,-0.010247707,-0.011715889,-0.01416254,-0.016608715,-0.009758472,-0.013183594,-0.012694359,-0.0078015327,-0.010737419,-0.015630245,-0.012694359,-0.0078015327,-0.011715889,-0.012205124,-0.012205124,-0.0092692375,-0.008290768,-0.0078015327,-0.009758472,-0.011715889,-0.011715889,-0.01416254,-0.01514101,-0.010247707,-0.01514101,-0.014651775,-0.015630245,-0.014651775,-0.008290768,-0.012205124,-0.01416254,-0.008290768,-0.012694359
42,43,-0.030250072,-0.037483215,-0.030766487,-0.029216766,-0.045233727,-0.04006672,-0.047816753,-0.04058361,-0.05970049,-0.06693363,-0.05660057,-0.049883842,-0.04368353,-0.03644991,-0.033866882,-0.053500175,-0.04575014,-0.042650223,-0.060733795,-0.069517136,-0.09948444,-0.13461828,-0.14753485,-0.14650154,-0.14960194,-0.15941858,-0.165102,-0.17078543,-0.1630354,-0.15321827,-0.13255167,-0.10258436,-0.054017067,-0.050400257,-0.060216904,-0.057116985
43,44,-0.020688534,-0.025072098,-0.034813404,-0.033839226,-0.029942513,-0.026533127,-0.027020454,-0.03091669,-0.033839226,-0.038710117,-0.035300255,-0.027020454,-0.023610592,-0.025072098,-0.020688534,-0.027507305,-0.029455662,-0.033352375,-0.033352375,-0.027507305,-0.025558949,-0.027994156,-0.03140402,-0.032865047,-0.028481483,-0.03773594,-0.047964096,-0.034326077,-0.035787582,-0.023610592,-0.03189087,-0.03042984,-0.03091669,-0.027994156,-0.020688534,-0.019714355
44,45,-0.0046026707,-0.0051243305,-0.005646229,-0.009820223,-0.012950897,-0.013472557,-0.010863781,-0.009820223,-0.013472557,-0.0046026707,-0.0051243305,-0.007733345,-0.011385679,-0.011907339,-0.011907339,-0.011385679,-0.011385679,-0.012950897,-0.01869011,-0.016081333,-0.016081333,-0.022864342,-0.019212008,-0.015037775,-0.015037775,-0.016603231,-0.023386002,-0.026516676,-0.024951458,-0.0239079,-0.028081894,-0.025473118,-0.01764679,-0.021299124,-0.0239079,-0.022342443
45,46,-0.018585443,-0.019990683,-0.017180443,-0.009686232,-0.015775204,-0.017648697,-0.012496471,-0.017648697,-0.02092743,-0.01952219,-0.021395922,-0.021864176,-0.017180443,-0.01671195,-0.018585443,-0.01671195,-0.013433456,-0.017180443,-0.01671195,-0.02842164,-0.029358387,-0.01671195,-0.019990683,-0.021395922,-0.029826641,-0.02092743,-0.0139017105,-0.012496471,-0.012028217,-0.01671195,-0.01530695,-0.017648697,-0.021395922,-0.025611162,-0.030763388,-0.019990683
46,47,-0.0018041134,0.00076818466,-0.0018041134,-0.010035276,-0.014150858,-0.01826644,-0.018780947,-0.013122082,-0.0151798725,-0.014665365,-0.014665365,-0.008491993,-0.014665365,-0.009006262,-0.010549784,-0.021353245,-0.023411036,-0.029584408,-0.04244566,-0.04244566,-0.045017958,-0.037301302,-0.03575778,-0.034214497,-0.041931152,-0.038330078,-0.02701211,-0.027526617,-0.019809961,-0.039359093,-0.09800649,-0.07485628,-0.07074046,-0.0650816,-0.054278135,-0.058908224
47,48,-0.013122082,-0.013636351,-0.014665365,-0.010035276,-0.006434202,-0.007977486,-0.012093067,-0.008491993,-0.012093067,-0.01157856,-0.009520769,-0.009520769,-0.009520769,-0.006948471,-0.017237663,-0.013122082,-0.009520769,-0.014665365,-0.012607574,-0.013636351,-0.01826644,-0.0151798725,-0.010549784,-0.024954319,-0.023925543,-0.034214497,-0.034214497,-0.037301302,-0.028555632,-0.026497602,-0.032671213,-0.033185482,-0.03575778,-0.048104763,-0.045017958,-0.036786795
48,49,-0.0076155663,-0.00572443,-0.013288498,-0.0069851875,-0.0025725365,-0.0032029152,-0.00572443,-0.008876324,-0.010137081,-0.012028217,-0.010137081,-0.008876324,-0.013918877,-0.011397839,-0.008245945,-0.009506702,-0.008245945,-0.009506702,-0.013288498,-0.0076155663,-0.010137081,-0.012028217,-0.015179634,-0.015179634,-0.0221138,-0.02337408,-0.018331528,-0.012028217,-0.012028217,-0.015810013,-0.018331528,-0.027786732,-0.02400446,-0.017701149,-0.017701149,-0.01707077
49,50,-0.02841711,-0.025895596,-0.014549255,-0.022744179,-0.013918877,-0.020853043,-0.015179634,-0.011397839,-0.015810013,-0.012658119,-0.0221138,-0.015810013,-0.01707077,-0.011397839,-0.01076746,-0.01076746,-0.014549255,-0.010137081,-0.015810013,-0.018331528,-0.0221138,-0.020853043,-0.016440392,-0.011397839,-0.008245945,-0.015810013,-0.014549255,-0.018331528,-0.020222664,-0.01707077,-0.025265217,-0.018331528,-0.013918877,-0.014549255,-0.014549255,-0.0221138
50,51,-0.019500256,-0.024188042,-0.023146152,-0.015333176,-0.013249874,-0.012207985,-0.01793766,-0.019500256,-0.020542145,-0.020020962,-0.023666859,-0.027833939,-0.032521725,-0.035125732,-0.03095913,-0.027313232,-0.027313232,-0.026271343,-0.022104263,-0.028875828,-0.027833939,-0.03095913,-0.03200054,-0.019500256,-0.012729168,-0.021583557,-0.024708748,-0.028875828,-0.028875828,-0.026271343,-0.023146152,-0.016375065,-0.014291763,-0.017416954,-0.021062851,-0.020020962
51,52,-0.014661789,-0.017812252,-0.016762018,-0.024638653,-0.027789116,-0.03199005,-0.02228713,-0.020916462,-0.01886034,-0.024343252,-0.02914071,-0.025028467,-0.023657799,-0.02228713,-0.021601677,-0.022972345,-0.013377428,-0.014062643,-0.0147480965,-0.01200676,-0.009950638,-0.013377428,-0.016804218,-0.02571392,-0.02914071,-0.026399136,-0.019545555,-0.0147480965,-0.024343252,-0.013377428,-0.009950638,-0.010635853,-0.01543355,-0.018174887,-0.009265184,-0.01543355
52,53,-0.015398502,-0.018567562,-0.030451775,-0.029659271,-0.031243801,-0.025697708,-0.036789894,-0.027282238,-0.029659271,-0.027282238,-0.024113178,-0.024113178,-0.026490211,-0.027282238,-0.024113178,-0.038374424,-0.04233551,-0.099378586,-0.096209526,-0.05025816,-0.039958954,-0.030451775,-0.024113178,-0.019359589,-0.039958954,-0.035205364,-0.039958954,-0.033620834,-0.051050663,-0.051050663,-0.04392004,-0.04392004,-0.039958954,-0.04867363,-0.055804253,-0.05818081
53,54,-0.05141878,-0.039866447,-0.033040285,-0.02673912,-0.029889584,-0.029889584,-0.033040285,-0.03619075,-0.05194378,-0.056144714,-0.045642614,-0.039866447,-0.056144714,-0.06717181,-0.054569244,-0.058245182,-0.058245182,-0.06034541,-0.04301715,-0.025688887,-0.036715984,-0.03934145,-0.034615517,-0.029889584,-0.03776622,-0.038291216,-0.035140753,-0.030939817,-0.03199005,-0.033040285,-0.037240982,-0.047743082,-0.03566575,-0.04984355,-0.052469015,-0.038816452
55,56,-0.01762867,-0.014860153,-0.01116848,-0.01762867,-0.02408886,-0.02408886,-0.0222435,-0.01578331,-0.02408886,-0.018551826,-0.01762867,-0.014860153,-0.01393795,-0.013014793,-0.021320343,-0.02039814,-0.019474983,-0.021320343,-0.02039814,-0.01393795,-0.01578331,-0.018551826,-0.016706467,-0.026857376,-0.021320343,-0.03054905,-0.045315742,-0.032395363,-0.025935173,-0.0222435,-0.029626846,-0.021320343,-0.03516388,-0.03516388,-0.029626846,-0.032395363
57,58,-0.04921913,-0.037218094,-0.037218094,-0.02983284,-0.025678635,-0.027524948,-0.027986526,-0.036294937,-0.041833878,-0.043218613,-0.047834396,-0.04368019,-0.045988083,-0.042757034,-0.028448105,-0.029371262,-0.039525986,-0.044603348,-0.042757034,-0.030755997,-0.03583336,-0.030294418,-0.034910202,-0.06952858,-0.06860542,-0.05521965,-0.062143326,-0.065374374,-0.07599068,-0.048757553,-0.047372818,-0.040449142,-0.03260231,-0.039525986,-0.026601791,-0.03860283
58,59,-0.011741161,-0.006412506,-0.007004738,-0.014701366,-0.016477585,-0.016477585,-0.026542187,-0.02772665,-0.028910637,-0.022397995,-0.01706934,-0.015885353,-0.0253582,-0.024174213,-0.037791252,-0.03127861,-0.022397995,-0.021214008,-0.017661572,-0.03364706,-0.06384134,-0.08515549,-0.09344387,-0.06561756,-0.06739378,-0.10942936,-0.12896729,-0.14140034,-0.13547993,-0.112389565,-0.09344387,-0.11831045,-0.13370371,-0.12719107,-0.14199209,-0.14317656
59,60,-0.010849476,-0.01834917,-0.017848969,-0.013849258,-0.014349461,-0.010849476,-0.011349201,-0.008849621,-0.009849548,-0.009349346,-0.003349781,-0.0058498383,-0.007349491,-0.011349201,-0.011349201,-0.014349461,-0.012349129,-0.014349461,-0.014349461,-0.010349274,-0.01834917,-0.024348736,-0.014349461,-0.015349388,-0.026848793,-0.026848793,-0.025848866,-0.022849083,-0.017848969,-0.02234888,-0.020349026,-0.017848969,-0.017848969,-0.021849155,-0.018848896,-0.014849186
60,61,-0.03184843,-0.03584814,-0.039848328,-0.041848183,-0.036848545,-0.035348415,-0.03284836,-0.025348663,-0.024848938,-0.023348808,-0.017349243,-0.021348953,-0.022849083,-0.036348343,-0.035348415,-0.03284836,-0.01943779,-0.020621777,-0.020621777,-0.022397995,-0.017661572,-0.024766445,-0.020621777,-0.022397995,-0.022990227,-0.024174213,-0.01943779,-0.020621777,-0.01706934,-0.020621777,-0.018253803,-0.020621777,-0.01706934,-0.01706934,-0.01351738,-0.014109135
