,Unnamed: 0,storm_index,name,start_date,end_date,nb_steps,first_step_in_eu,landfall_eu
54,54,55,C3S_STORM_TRACKS_ERA5,2007-11-06T18:00:00,2007-11-11T09:00:00,38,20,2007-11-07T14:00:00
55,55,56,C3S_STORM_TRACKS_ERA5,2007-12-03T15:00:00,2007-12-10T18:00:00,58,127,2007-12-08T22:00:00
56,56,57,C3S_STORM_TRACKS_ERA5,2008-01-07T18:00:00,2008-01-10T18:00:00,25,17,2008-01-08T11:00:00
57,57,58,C3S_STORM_TRACKS_ERA5,2008-01-20T03:00:00,2008-01-27T09:00:00,59,109,2008-01-24T16:00:00
58,58,59,C3S_STORM_TRACKS_ERA5,2008-02-05T00:00:00,2008-02-09T21:00:00,40,50,2008-02-07T02:00:00
59,59,60,C3S_STORM_TRACKS_ERA5,2008-03-07T21:00:00,2008-03-16T15:00:00,71,87,2008-03-11T12:00:00
60,60,61,EMMA,2008-02-25T00:00:00,2008-03-03T18:00:00,63,99,2008-02-29T03:00:00
61,61,62,C3S_STORM_TRACKS_ERA5,2008-12-16T06:00:00,2008-12-21T15:00:00,44,79,2008-12-19T13:00:00
62,62,63,C3S_STORM_TRACKS_ERA5,2009-01-13T03:00:00,2009-01-19T09:00:00,51,106,2009-01-17T13:00:00
63,63,64,KLAUS,2009-01-22T00:00:00,2009-01-27T15:00:00,46,28,2009-01-23T04:00:00
64,64,65,XYNTHIA,2010-02-23T00:00:00,2010-03-07T03:00:00,98,94,2010-02-26T22:00:00
65,65,66,C3S_STORM_TRACKS_ERA5,2011-02-01T09:00:00,2011-02-05T09:00:00,33,54,2011-02-03T15:00:00
66,66,67,C3S_STORM_TRACKS_ERA5,2011-11-23T00:00:00,2011-11-28T12:00:00,45,9,2011-11-23T09:00:00
67,67,68,C3S_STORM_TRACKS_ERA5,2011-12-06T15:00:00,2011-12-14T00:00:00,60,38,2011-12-08T05:00:00
68,68,69,C3S_STORM_TRACKS_ERA5,2011-12-22T21:00:00,2011-12-26T21:00:00,33,59,2011-12-25T08:00:00
69,69,70,ULLI,2012-01-02T15:00:00,2012-01-07T15:00:00,41,9,2012-01-03T00:00:00
70,70,71,CHRISTIAN,2013-10-26T03:00:00,2013-10-30T06:00:00,34,40,2013-10-27T19:00:00
71,71,72,C3S_STORM_TRACKS_ERA5,2013-11-11T21:00:00,2013-11-19T12:00:00,62,97,2013-11-15T22:00:00
72,72,73,XAVER,2013-12-02T09:00:00,2013-12-09T00:00:00,54,58,2013-12-04T19:00:00
73,73,74,C3S_STORM_TRACKS_ERA5,2013-12-12T12:00:00,2013-12-16T03:00:00,30,45,2013-12-14T09:00:00
74,74,75,C3S_STORM_TRACKS_ERA5,2013-12-12T18:00:00,2013-12-18T21:00:00,50,65,2013-12-15T11:00:00
75,75,76,C3S_STORM_TRACKS_ERA5,2013-12-15T15:00:00,2013-12-20T15:00:00,41,70,2013-12-18T13:00:00
76,76,77,C3S_STORM_TRACKS_ERA5,2013-12-10T06:00:00,2013-12-15T15:00:00,44,0,2013-12-10T06:00:00
77,77,78,C3S_STORM_TRACKS_ERA5,2013-12-22T18:00:00,2013-12-30T09:00:00,62,98,2013-12-26T20:00:00
78,78,79,C3S_STORM_TRACKS_ERA5,2014-02-09T09:00:00,2014-02-15T00:00:00,46,69,2014-02-12T06:00:00
79,79,80,C3S_STORM_TRACKS_ERA5,2015-01-05T00:00:00,2015-01-12T12:00:00,61,116,2015-01-09T20:00:00
80,80,81,C3S_STORM_TRACKS_ERA5,2015-01-05T15:00:00,2015-01-10T21:00:00,43,77,2015-01-08T20:00:00
81,81,82,C3S_STORM_TRACKS_ERA5,2015-01-10T12:00:00,2015-01-15T21:00:00,44,37,2015-01-12T01:00:00
82,82,83,C3S_STORM_TRACKS_ERA5,2015-01-12T18:00:00,2015-01-19T09:00:00,54,48,2015-01-14T18:00:00
83,83,84,C3S_STORM_TRACKS_ERA5,2015-02-06T18:00:00,2015-02-10T09:00:00,30,0,2015-02-06T18:00:00
84,84,85,C3S_STORM_TRACKS_ERA5,2016-01-27T15:00:00,2016-02-01T03:00:00,37,37,2016-01-29T04:00:00
85,85,86,C3S_STORM_TRACKS_ERA5,2016-01-30T03:00:00,2016-02-04T09:00:00,43,52,2016-02-01T07:00:00
86,86,87,C3S_STORM_TRACKS_ERA5,2016-02-03T21:00:00,2016-02-10T03:00:00,51,100,2016-02-08T01:00:00
87,87,88,C3S_STORM_TRACKS_ERA5,2016-12-19T06:00:00,2016-12-25T06:00:00,49,99,2016-12-23T09:00:00
88,88,89,C3S_STORM_TRACKS_ERA5,2016-12-21T03:00:00,2016-12-29T09:00:00,67,95,2016-12-25T02:00:00
89,89,90,C3S_STORM_TRACKS_ERA5,2017-10-04T03:00:00,2017-10-17T21:00:00,111,246,2017-10-14T09:00:00
90,90,91,CIARA1,2020-02-06T18:00:00,2020-02-09T03:00:00,20,-1,-1
91,91,92,CIARA2,2020-02-08T21:00:00,2020-02-12T09:00:00,29,8,2020-02-09T05:00:00
92,92,93,DENNIS,2020-02-13T09:00:00,2020-02-17T18:00:00,36,50,2020-02-15T11:00:00
93,93,94,ALEX,2020-10-01T00:00:00,2020-10-07T00:00:00,49,12,2020-10-01T12:00:00
94,94,95,AIDEN ,2020-10-29T06:00:00,2020-11-04T09:00:00,50,25,2020-10-30T07:00:00
95,95,96,C3S_STORM_TRACKS_ERA5,2021-03-21T18:00:00,2021-03-25T03:00:00,28,8,2021-03-22T02:00:00
