Time&Longitude&Latitude;Longitude (MSLP);Latitude (MSLP);MSLP;Longitude (925wind);Latitude (925wind);925hP Wind Speed;Longitude (10m wind);Latitude (10m wind);10m Wind Speed
TRACK_ID 25 START_TIME 1990012103 MEDIAN_TIME 1990012103 ENSMBLE_MEMB 0 NAME C3S_STORM_TRACKS_ERA5;;;;;;;;;
POINT_NUM 62                           ;;;;;;;;;
1990012800 34.815449 63.266251 4.242657e+00;3.497675e+01;6.460299e+01;9.826473e+02;3.150000e+01;6.000000e+01;1.945682e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012803 36.983864 64.158661 3.896764e+00;3.630553e+01;6.524470e+01;9.831655e+02;3.909380e+01;5.831380e+01;1.831761e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012806 38.283020 64.786545 3.851075e+00;3.738723e+01;6.578109e+01;9.841288e+02;4.021880e+01;5.887590e+01;1.717324e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012809 39.552975 65.833458 3.889397e+00;3.805629e+01;6.599773e+01;9.854810e+02;3.459380e+01;6.449650e+01;1.742447e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012812 39.803650 66.754616 3.933676e+00;3.941383e+01;6.638165e+01;9.875021e+02;4.893750e+01;7.180320e+01;2.387092e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012815 40.605556 66.779961 3.827881e+00;4.194122e+01;6.681758e+01;9.892166e+02;4.978120e+01;7.180320e+01;2.115202e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012818 41.577332 67.246323 3.764901e+00;4.304135e+01;6.725157e+01;9.904625e+02;5.034380e+01;7.208430e+01;1.948599e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012821 42.700306 67.417984 3.544827e+00;4.430492e+01;6.757130e+01;9.922029e+02;4.921880e+01;7.208430e+01;1.960546e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012900 44.162315 67.057327 3.259449e+00;4.509504e+01;6.768642e+01;9.945984e+02;4.893750e+01;7.208430e+01;1.786226e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012903 48.176598 66.221039 3.217920e+00;4.753679e+01;6.843694e+01;9.965530e+02;4.640620e+01;6.562060e+01;1.760543e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012906 51.473320 65.919853 2.931133e+00;4.885026e+01;6.873497e+01;9.986090e+02;6.412500e+01;6.365340e+01;1.868917e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012909 53.922283 65.858345 2.376530e+00;5.020715e+01;6.900373e+01;1.000870e+03;6.440620e+01;6.421540e+01;1.868230e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012912 58.181171 65.525337 2.561113e+00;5.085956e+01;6.925136e+01;1.004207e+03;6.721880e+01;6.393440e+01;1.791629e+01;1.000000e+25;1.000000e+25;1.000000e+25 
TRACK_ID 27 START_TIME 1990012818 MEDIAN_TIME 1990012818 ENSMBLE_MEMB 0 NAME C3S_STORM_TRACKS_ERA5;;;;;;;;;
POINT_NUM 59                           ;;;;;;;;;
1990012818 259.711029 31.519335 1.558790e+00;2.646086e+02;3.098371e+01;1.016632e+03;2.652188e+02;3.105390e+01;1.889944e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012821 261.125122 33.332455 2.268197e+00;2.652611e+02;3.128227e+01;1.014192e+03;2.649375e+02;3.049180e+01;1.886675e+01;1.000000e+25;1.000000e+25;1.000000e+25 
