,start_date,end_date,storm_index,3_hour_steps,1_hour_steps,eu_landfall_date,nb_steps_before_eu_landfall_1_hour,storm_index_match,storm_name
59,2008-02-25T00:00:00,2008-03-03T18:00:00,61,62,186,2008-02-28T21:00:00,93,61.0,C3S_STORM_TRACKS_ERA5
60,2008-03-07T21:00:00,2008-03-16T15:00:00,60,70,210,2008-03-12T11:00:00,110,60.0,EMMA
61,2008-12-16T06:00:00,2008-12-21T15:00:00,62,43,129,2008-12-19T16:00:00,82,62.0,C3S_STORM_TRACKS_ERA5
62,2009-01-13T03:00:00,2009-01-19T09:00:00,63,50,150,2009-01-17T15:00:00,108,63.0,KLAUS
63,2009-01-22T00:00:00,2009-01-27T15:00:00,64,45,135,2009-01-23T21:00:00,45,64.0,XYNTHIA
64,2010-02-23T00:00:00,2010-03-07T03:00:00,65,97,291,2010-02-27T01:00:00,97,65.0,C3S_STORM_TRACKS_ERA5
65,2011-02-01T09:00:00,2011-02-05T09:00:00,66,32,96,2011-02-03T19:00:00,58,66.0,C3S_STORM_TRACKS_ERA5
66,2011-11-23T00:00:00,2011-11-28T12:00:00,67,44,132,2011-11-24T22:00:00,46,67.0,C3S_STORM_TRACKS_ERA5
67,2011-12-06T15:00:00,2011-12-14T00:00:00,68,59,177,2011-12-08T08:00:00,41,68.0,C3S_STORM_TRACKS_ERA5
68,2011-12-22T21:00:00,2011-12-26T21:00:00,69,32,96,2011-12-25T12:00:00,63,69.0,ULLI
69,2012-01-02T15:00:00,2012-01-07T15:00:00,70,40,120,2012-01-03T02:00:00,11,70.0,CHRISTIAN
70,2013-10-26T03:00:00,2013-10-30T06:00:00,71,33,99,2013-10-28T00:00:00,45,71.0,C3S_STORM_TRACKS_ERA5
71,2013-11-11T21:00:00,2013-11-19T12:00:00,72,61,183,2013-11-16T01:00:00,100,72.0,XAVER
72,2013-12-02T09:00:00,2013-12-09T00:00:00,73,53,159,2013-12-05T04:00:00,67,73.0,C3S_STORM_TRACKS_ERA5
73,2013-12-10T06:00:00,2013-12-15T15:00:00,77,43,129,2013-12-12T10:00:00,52,77.0,C3S_STORM_TRACKS_ERA5
74,2013-12-12T12:00:00,2013-12-16T03:00:00,74,29,87,2013-12-15T11:00:00,71,74.0,C3S_STORM_TRACKS_ERA5
