,Unnamed: 0.1,Unnamed: 0,start_date,end_date,storm_index,3_hour_steps,1_hour_steps,eu_landfall_date,nb_steps_before_eu_landfall_1_hour,storm_name
51,51,51,2006-12-30T00:00:00,2007-01-04T03:00:00,52,41,123,2006-12-31T11:00:00,35,C3S_STORM_TRACKS_ERA5
52,52,52,2007-01-14T06:00:00,2007-01-21T03:00:00,54,55,165,2007-01-16T04:00:00,46,C3S_STORM_TRACKS_ERA5
53,53,53,2007-03-15T12:00:00,2007-03-20T03:00:00,53,37,111,2007-03-19T11:00:00,95,KYRILL
54,54,54,2007-11-06T18:00:00,2007-11-11T09:00:00,55,37,111,2007-11-07T17:00:00,23,C3S_STORM_TRACKS_ERA5
55,55,55,2007-12-03T15:00:00,2007-12-10T18:00:00,56,57,171,2007-12-09T01:00:00,130,C3S_STORM_TRACKS_ERA5
56,56,56,2008-01-07T18:00:00,2008-01-10T18:00:00,57,24,72,2008-01-08T13:00:00,19,C3S_STORM_TRACKS_ERA5
57,57,57,2008-01-20T03:00:00,2008-01-27T09:00:00,58,58,174,2008-01-24T23:00:00,116,C3S_STORM_TRACKS_ERA5
58,58,58,2008-02-05T00:00:00,2008-02-09T21:00:00,59,39,117,2008-02-07T07:00:00,55,C3S_STORM_TRACKS_ERA5
59,59,59,2008-02-25T00:00:00,2008-03-03T18:00:00,61,62,186,2008-02-28T21:00:00,93,C3S_STORM_TRACKS_ERA5
60,60,60,2008-03-07T21:00:00,2008-03-16T15:00:00,60,70,210,2008-03-12T11:00:00,110,EMMA
61,61,61,2008-12-16T06:00:00,2008-12-21T15:00:00,62,43,129,2008-12-19T16:00:00,82,C3S_STORM_TRACKS_ERA5
62,62,62,2009-01-13T03:00:00,2009-01-19T09:00:00,63,50,150,2009-01-17T15:00:00,108,C3S_STORM_TRACKS_ERA5
63,63,63,2009-01-22T00:00:00,2009-01-27T15:00:00,64,45,135,2009-01-23T21:00:00,45,KLAUS
64,64,64,2010-02-23T00:00:00,2010-03-07T03:00:00,65,97,291,2010-02-27T01:00:00,97,XYNTHIA
65,65,65,2011-02-01T09:00:00,2011-02-05T09:00:00,66,32,96,2011-02-03T19:00:00,58,C3S_STORM_TRACKS_ERA5
66,66,66,2011-11-23T00:00:00,2011-11-28T12:00:00,67,44,132,2011-11-24T22:00:00,46,C3S_STORM_TRACKS_ERA5
67,67,67,2011-12-06T15:00:00,2011-12-14T00:00:00,68,59,177,2011-12-08T08:00:00,41,C3S_STORM_TRACKS_ERA5
68,68,68,2011-12-22T21:00:00,2011-12-26T21:00:00,69,32,96,2011-12-25T12:00:00,63,C3S_STORM_TRACKS_ERA5
69,69,69,2012-01-02T15:00:00,2012-01-07T15:00:00,70,40,120,2012-01-03T02:00:00,11,ULLI
70,70,70,2013-10-26T03:00:00,2013-10-30T06:00:00,71,33,99,2013-10-28T00:00:00,45,CHRISTIAN
71,71,71,2013-11-11T21:00:00,2013-11-19T12:00:00,72,61,183,2013-11-16T01:00:00,100,C3S_STORM_TRACKS_ERA5
72,72,72,2013-12-02T09:00:00,2013-12-09T00:00:00,73,53,159,2013-12-05T04:00:00,67,XAVER
73,73,76,2013-12-10T06:00:00,2013-12-15T15:00:00,77,43,129,2013-12-12T10:00:00,52,C3S_STORM_TRACKS_ERA5
74,74,73,2013-12-12T12:00:00,2013-12-16T03:00:00,74,29,87,2013-12-15T11:00:00,71,C3S_STORM_TRACKS_ERA5
75,75,74,2013-12-12T18:00:00,2013-12-18T21:00:00,75,49,147,2013-12-15T18:00:00,72,C3S_STORM_TRACKS_ERA5
76,76,75,2013-12-15T15:00:00,2013-12-20T15:00:00,76,40,120,2013-12-15T15:00:00,0,C3S_STORM_TRACKS_ERA5
77,77,77,2013-12-22T18:00:00,2013-12-30T09:00:00,78,61,183,2013-12-26T22:00:00,100,C3S_STORM_TRACKS_ERA5
78,78,78,2014-02-09T09:00:00,2014-02-15T00:00:00,79,45,135,2014-02-12T08:00:00,71,C3S_STORM_TRACKS_ERA5
79,79,79,2015-01-05T00:00:00,2015-01-12T12:00:00,80,60,180,2015-01-10T00:00:00,120,C3S_STORM_TRACKS_ERA5
80,80,80,2015-01-05T15:00:00,2015-01-10T21:00:00,81,42,126,2015-01-09T00:00:00,81,C3S_STORM_TRACKS_ERA5
81,81,81,2015-01-10T12:00:00,2015-01-15T21:00:00,82,43,129,2015-01-12T06:00:00,42,C3S_STORM_TRACKS_ERA5
82,82,82,2015-01-12T18:00:00,2015-01-19T09:00:00,83,53,159,2015-01-14T21:00:00,51,C3S_STORM_TRACKS_ERA5
83,83,83,2015-02-06T18:00:00,2015-02-10T09:00:00,84,29,87,2015-02-06T18:00:00,0,C3S_STORM_TRACKS_ERA5
84,84,84,2016-01-27T15:00:00,2016-02-01T03:00:00,85,36,108,2016-01-29T06:00:00,39,C3S_STORM_TRACKS_ERA5
85,85,85,2016-01-30T03:00:00,2016-02-04T09:00:00,86,42,126,2016-02-01T21:00:00,66,C3S_STORM_TRACKS_ERA5
86,86,86,2016-02-03T21:00:00,2016-02-10T03:00:00,87,50,150,2016-02-08T03:00:00,102,C3S_STORM_TRACKS_ERA5
87,87,87,2016-12-19T06:00:00,2016-12-25T06:00:00,88,48,144,2016-12-23T18:00:00,108,C3S_STORM_TRACKS_ERA5
88,88,88,2016-12-21T03:00:00,2016-12-29T09:00:00,89,66,198,2016-12-25T06:00:00,99,C3S_STORM_TRACKS_ERA5
89,89,89,2017-10-04T03:00:00,2017-10-17T21:00:00,90,110,330,2017-10-14T16:00:00,253,C3S_STORM_TRACKS_ERA5
90,90,90,2020-02-06T18:00:00,2020-02-09T03:00:00,91,19,57,-1,-1,CIARA1
91,91,91,2020-02-08T21:00:00,2020-02-12T09:00:00,92,28,84,2020-02-09T07:00:00,10,CIARA2
92,92,92,2020-02-13T09:00:00,2020-02-17T18:00:00,93,35,105,2020-02-15T15:00:00,54,DENNIS
93,93,93,2020-10-01T00:00:00,2020-10-07T00:00:00,94,48,144,2020-10-01T21:00:00,21,ALEX
94,94,94,2020-10-29T06:00:00,2020-11-04T09:00:00,95,49,147,2020-10-31T04:00:00,46,AIDEN C3S_STORM_TRACKS_ERA5
95,95,95,2021-03-21T18:00:00,2021-03-25T03:00:00,96,27,81,2021-03-23T19:00:00,49,C3S_STORM_TRACKS_ERA5
