time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10
17,mean_surface_latent_heat_flux_mean,-0.5616129092098506,2.1433509114300904,1.1011556621270087,-0.14712940800014987,-0.03299590955794739,-0.9277901007110111,0.05073830707910775,-0.07589999238843803,0.3487829234472088,-0.237347451952839
18,mean_surface_latent_heat_flux_mean,-0.26561810973967703,2.3432263085732576,0.7475199127710355,-0.18488874786835519,-0.43521575489436026,-0.8355313759496428,0.21700495656026436,-0.24207986609200682,0.23047457099041319,-0.05523656577109364
19,mean_surface_latent_heat_flux_mean,-0.11791579816244693,2.457074721591094,0.35442526080564773,-0.14203354364969242,-0.7248893479372157,-0.5547749244315211,0.33655083131242347,-0.4031351570012293,0.02541504015678282,0.12922949728488667
20,mean_surface_latent_heat_flux_mean,0.027999332226873057,2.3931508657712803,-0.09440896960088,-0.03935546152040515,-0.9365193945954089,-0.16234466327402142,0.4018728381898715,-0.370995447679123,-0.157028439043669,0.21261394239119943
21,mean_surface_latent_heat_flux_mean,0.12768705682205397,2.3940627981717384,-0.547673332648973,-0.008091102709746318,-0.991934474251737,0.33413560736236864,0.3647651923353234,-0.23400304139100866,-0.2973783563649123,0.1954721195651089
22,mean_surface_latent_heat_flux_mean,0.1605970162232301,2.443013406091187,-0.9940378841917274,0.02746905885529218,-0.9077510857396732,0.8322047986898072,0.12806668867939094,0.08474095660773658,-0.2594983272393151,-0.014752854555737075
23,mean_surface_latent_heat_flux_mean,0.2587642905757336,2.2903867696521036,-1.238647771072918,0.07162791819732425,-0.629101722433889,0.9392775910087514,-0.10620089965656955,0.29081320432953406,-0.12958781464807664,-0.15098180761289257
24,mean_surface_latent_heat_flux_mean,0.33589467132224116,1.984973462139894,-1.454002551402121,0.08973688329294657,0.006850105491435615,0.7875087450525545,-0.4680837376726491,0.3020453633317767,0.16984244506945,-0.17051071532418902
25,mean_surface_latent_heat_flux_mean,0.43107720524298854,1.4235526041017121,-1.6954932857563705,0.07858511086932303,0.44712487872789514,0.5548029965487536,-0.5855947629432845,0.25801855928471235,0.23216776679063397,-0.1617211642371511
26,mean_surface_latent_heat_flux_mean,0.537756497880254,0.745118479023945,-1.925712522575316,-0.16395174906009105,0.8232481845655016,0.18263599705591532,-0.5631673735433902,0.005387619400978254,0.26623197572392715,-0.036604995556349065
27,mean_surface_latent_heat_flux_mean,0.9369301398316563,0.12301880220178119,-1.948472215432312,-0.4774225898067916,1.101371722942785,-0.20586547932817292,-0.4842175362096971,-0.23547025755551138,0.18474248840187626,0.11697497459229979
