,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
26,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5112805,30.68588,67.535545,97.88413,119.775246,110.01067
28,29,0.01515436,2.398756,9.340726,28.348356,50.721542,72.29102,70.34021,73.40948,47.35211,26.40407,3.9581351,0.0,0.0,0.0,0.0
30,31,0.0,1.122163,18.337465,43.032555,62.584503,67.915184,62.570545,43.076874,18.1461,0.9817359,0.0,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0,0.0,3.597936,25.077522,46.88672,58.54687,60.939144,52.417946,33.91188,15.436877,1.1822449,0.0
32,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6015106,11.320231,26.573126,36.930504,39.721264,31.65706
33,34,7.2977753,28.440365,51.10233,62.505955,54.394924,39.755135,16.451267,0.8854266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65866673,11.596358,31.46483,50.693493,69.7033
38,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029453874,5.650097,17.434114
42,43,0.48357737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.835821,19.697954,38.82798,53.701332,53.19149
44,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13675667,12.787427,46.89341,79.72573,97.678154
45,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48146856,15.310047,43.38738
46,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015000089,4.966569,25.990206,44.809177
47,48,34.10511,53.64619,59.233162,51.259804,36.80082,17.366762,2.188203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,49,90.5604,74.265114,45.533295,17.53042,0.47377947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.006431751,3.8424306,20.59936,40.829155,56.259216,66.631,61.03087,44.218876,17.140636,1.5601798,0.0,0.0,0.0
50,51,35.99826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.815073,0.1510321
52,53,34.391518,6.192754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10333253,10.06441,33.46176
53,54,0.0,0.0,0.0,0.0,0.0,0.0,1.5050704,14.059209,31.521093,40.639492,42.14382,37.36271,21.698242,5.2848616,0.0
55,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004689019,6.249641,20.729599,34.61355,47.539333
57,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05398633,7.972182,23.011597,35.31543,39.95377
59,60,94.98624,106.170235,102.489105,85.90118,66.54125,41.901844,22.92499,4.4758687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,61,76.31458,88.60231,94.63825,81.929535,54.63678,26.688099,6.10445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,62,22.304735,23.031866,14.933069,4.405295,0.0015575003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,63,81.27719,83.71378,67.471756,40.928078,11.168479,0.05927535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,64,0.017880883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.954172,46.229755
64,65,37.328903,76.818825,112.76851,127.2088,148.10727,146.17052,128.06453,90.73836,51.620064,18.331266,0.8448954,0.0,0.0,0.0,0.0
65,66,60.72559,39.554264,16.53438,0.8129024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017833319,2.8613217,7.761659
67,68,0.0,0.0,0.0,0.0,0.47178382,10.409899,24.485405,38.3665,46.624496,38.166897,21.028051,3.0157552,0.0,0.0,0.0
68,69,5.620281,16.464123,20.738625,18.613901,7.3448906,0.09164816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
