,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
48,49,54.797882,52.21931,51.931572,50.013325,52.916523,54.078537,54.07485,56.527996,55.642647,58.132683,60.05831,58.11424,56.513237,61.235085,58.76718,62.057716,64.6658,66.91974,65.88315,63.466892,62.419235,61.788425,61.581844,62.459812,63.31196,62.743862,62.26061,62.825016,58.254417,59.032787,58.852028,58.08473,59.003273,58.479443,59.2615,56.874756
49,50,70.682465,70.82633,69.468796,70.807884,73.98406,70.52015,69.95205,70.68615,68.24776,64.38175,65.86839,64.38544,64.610466,64.65105,67.18903,68.21087,68.12234,66.38484,65.41834,65.22652,65.6323,66.29631,65.85364,67.60957,68.100204,66.934494,68.48754,67.923134,69.28804,62.452435,61.747845,62.924618,61.718334,49.63705,48.65948,49.220203
50,51,72.47645,74.528595,74.28092,75.55467,75.22916,75.94034,73.33623,75.14424,76.69043,75.31761,75.90849,76.92041,74.535675,70.85242,69.27439,68.44646,68.12802,69.582214,68.24124,68.39338,70.49152,69.99972,70.00679,70.4243,72.15447,74.995636,75.23978,73.99433,69.11163,69.865265,64.88704,60.425385,55.16056,58.04772,62.6509,68.485374
52,53,45.00496,49.071148,43.224483,45.82672,45.537582,41.44705,51.992958,52.230354,46.018463,39.40178,40.820076,41.163998,49.509422,51.131634,49.363327,43.33101,42.91404,43.35231,45.735413,35.74647,27.440617,26.898865,27.388878,30.21938,30.228512,31.808117,30.624172,43.279266,49.421158,62.858444,69.24991,71.90997,61.68363,54.945206,51.84687,57.02091
53,54,60.023975,56.31568,48.925102,45.093307,43.510536,46.33807,46.11707,51.274876,47.794086,47.677086,49.152603,52.734142,53.715652,53.41015,50.169865,49.415855,48.98035,54.11541,54.255157,55.597427,52.82514,55.265923,62.2275,65.584785,66.81655,63.436516,66.17629,67.60306,68.61382,69.296326,70.606094,71.6526,64.13202,75.191895,74.346886,70.55734
55,56,48.99482,53.826385,51.59378,48.396744,53.17195,49.113808,54.462036,48.90401,49.962383,52.80872,49.264107,43.75305,48.49068,50.485306,52.116707,55.288696,56.340805,58.059883,59.631783,61.200558,62.03661,64.30053,66.733536,67.94534,70.93885,73.02741,74.90932,74.16407,74.28932,74.75588,76.280815,76.94465,77.956055,79.54361,79.34321,79.283714
57,58,45.005466,44.979755,46.01129,45.62246,39.20187,37.05846,42.04261,49.82573,54.382484,53.653015,52.261566,48.778126,44.88014,44.581284,42.942394,41.714832,41.030354,40.747566,39.507153,39.892773,43.54653,47.01391,51.188255,60.337112,60.84485,58.891037,58.16478,56.721916,56.802254,59.58194,63.29354,68.71794,67.11119,61.114784,61.776764,60.520283
59,60,50.341484,50.657036,43.333042,46.74733,48.971977,50.622322,54.238564,50.527657,53.68319,54.18492,57.693874,57.6213,58.53956,58.498535,61.31327,61.59727,56.879745,58.104095,61.39216,63.93552,64.47827,64.6897,61.871803,63.206593,60.732655,59.151733,62.82477,64.50352,59.770218,63.19397,64.72125,65.50382,66.93643,70.71992,70.13615,65.92035
60,61,55.25177,55.824684,58.159687,61.12335,64.186104,65.93891,67.30461,64.93244,47.828682,43.08745,38.838604,38.92222,40.2074,42.42163,39.801716,39.2319,40.00301,40.16714,38.62802,38.544407,50.789246,31.505325,46.806732,49.838524,55.895912,46.531113,50.869766,48.098106,50.910023,55.192932,59.457256,62.79873,68.61766,74.35918,79.86223,79.03538
61,62,65.9705,67.84178,70.84652,68.47916,70.538826,71.72565,65.430466,63.75698,60.22477,57.932762,60.023827,60.37548,62.871574,65.72246,68.37868,64.75856,61.8229,60.086624,64.35981,61.54032,58.78677,58.780487,60.934353,61.769524,66.403786,66.1369,71.08828,71.49331,62.57958,68.592186,68.2374,67.77585,70.53568,75.125984,77.11972,75.873245
62,63,53.448048,54.741547,52.587887,58.706764,54.70245,53.034256,50.916435,52.08613,54.047554,57.8466,66.20711,63.64617,61.427345,59.172684,55.644066,59.07168,61.489254,59.733093,56.78443,59.922066,57.61527,53.347046,49.613163,53.311203,60.208786,63.11509,64.38904,61.896526,64.58779,69.9866,63.626625,61.955173,62.56771,58.993484,57.338326,54.01823
63,64,64.37601,64.26523,60.47596,60.140366,57.79447,56.572647,57.243835,59.097744,65.855225,69.611916,69.54024,68.89511,68.4129,64.037155,64.434654,62.44716,60.84413,59.338852,56.285927,53.741287,56.686684,61.886753,64.27174,66.64371,62.381996,63.590782,64.815865,63.108574,61.87372,61.83462,59.52131,62.173473,65.21336,66.51338,65.171005,64.26523
64,65,49.645836,45.717033,42.750854,40.779926,34.899776,30.488033,29.750565,25.253983,27.078068,23.110107,37.885536,45.710506,48.128483,53.914,58.83153,64.15695,65.5242,65.25989,64.845474,64.59094,63.670746,60.8873,62.8517,62.8517,59.148056,56.286293,64.50937,73.18928,73.59717,71.975395,71.36193,70.634254,69.44974,67.96502,67.64197,72.71286
65,66,36.461063,39.242805,42.425602,43.885452,40.67057,39.448147,41.045963,44.280094,42.93575,42.22347,31.343563,19.350319,21.150269,21.580204,19.244438,21.04118,28.141514,48.550564,48.99654,52.19538,52.98466,52.920494,55.737526,55.58031,56.39526,58.532097,62.62931,62.41755,60.40584,57.84549,60.226166,59.37272,56.911823,53.164337,57.328926,58.596268
66,67,61.6245,61.745792,62.250114,63.319397,62.738472,65.59522,64.659996,60.248795,62.087326,67.91254,70.49478,70.38945,70.45648,69.61701,69.808525,70.63522,72.29501,70.2905,65.9176,63.909897,65.69098,61.678764,62.27565,66.38681,68.57007,66.76345,64.96323,61.761753,61.120182,59.913643,58.972034,55.052387,59.233772,55.655655,54.615097,54.39805
67,68,60.084663,59.98164,58.13717,53.078995,51.178024,57.542282,50.45353,45.18266,50.343857,48.88822,53.680523,58.373127,55.20595,50.62302,58.077347,58.599113,59.679214,59.7058,55.02981,60.699486,61.470512,63.986305,57.455875,54.793854,54.49143,53.570854,52.716747,54.49143,58.429626,63.39142,61.689854,61.191345,60.044785,55.485115,56.392395,58.46618
68,69,50.536613,53.295013,65.12955,69.21397,71.899254,65.54164,60.310654,56.226227,55.215923,63.770287,62.72342,61.633354,53.97298,63.91651,66.37248,64.29538,59.493103,55.62802,48.290012,50.510025,52.79983,57.0039,60.28739,65.98033,70.92883,70.7959,73.88663,78.197044,71.872665,73.042496,72.29806,74.02953,74.11262,78.017586,82.490845,81.83282
70,71,69.98889,64.65011,61.034264,58.144924,54.905663,62.317307,71.12197,71.2786,70.8687,66.79295,68.755844,72.574974,72.56497,75.14105,73.03487,70.90202,67.84605,64.52014,59.284664,58.794777,63.786972,71.78182,73.98798,74.55452,72.41501,64.23021,63.760315,65.05335,64.82674,63.627007,62.347298,62.483936,62.937164,65.25997,63.607014,64.226875
71,72,48.02638,49.89167,50.7009,50.216614,47.81079,51.169567,52.71929,53.88471,55.072,59.536827,58.73072,58.390156,58.755714,47.48897,54.037804,55.246964,53.21295,48.779366,49.88542,50.816505,59.564945,55.581284,59.24938,63.295532,68.97577,64.198494,63.142433,66.42935,64.69528,56.084316,54.61583,56.702957,57.24661,60.786606,60.980316,62.45193
72,73,43.574924,36.70256,35.96743,35.904312,38.959934,40.53044,39.583683,48.947323,51.457165,35.97857,37.374573,36.39811,35.551598,36.11223,22.77591,3.5065536,2.867958,2.2442093,11.618988,15.383751,20.867538,47.135483,50.40645,50.670055,49.979477,49.12925,51.394047,56.16869,59.458214,82.52203,81.90571,75.87244,72.99132,77.90333,80.88098,82.35124
75,76,44.521683,49.537655,47.733242,43.240772,46.75678,44.07615,50.937374,51.921265,49.604485,44.32862,46.066204,41.673977,40.11832,37.638184,43.534084,52.30368,50.031456,46.374363,44.313766,43.682594,43.474678,46.51545,44.150406,45.698635,48.67629,44.98207,42.178917,44.53282,45.520424,47.473347,50.510406,52.199722,51.709633,51.000492,50.974503,51.334644
76,77,61.55594,61.830685,62.914818,63.609108,65.2316,66.60532,67.68204,70.8082,67.206795,68.34291,73.47026,71.33541,67.32561,67.06943,68.480286,69.40848,68.30206,68.98522,67.255066,66.93205,65.73282,65.79594,62.617794,61.5151,61.374012,63.753906,63.44203,65.19075,63.456882,63.716778,63.94326,64.46677,59.77009,55.002872,56.35433,57.189705
